95, 7.3345, 0.8007, 8.0559e-05, 0:00:00.687412, 762698.35, [tensor(0.5127, device='cuda:0'), tensor(0.5193, device='cuda:0')]
96, 7.2857, 0.8144, 8.1399e-05, 0:00:00.686270, 763967.53, [tensor(0.5121, device='cuda:0'), tensor(0.5208, device='cuda:0')]
97, 7.2400, 1.0869, 8.2238e-05, 0:00:00.679764, 771279.44, [tensor(0.5135, device='cuda:0'), tensor(0.5162, device='cuda:0')]
98, 7.2754, 1.4416, 8.3077e-05, 0:00:00.684243, 766230.71, [tensor(0.5132, device='cuda:0'), tensor(0.5185, device='cuda:0')]
99, 7.2137, 1.0494, 8.3916e-05, 0:00:00.681370, 769461.53, [tensor(0.5119, device='cuda:0'), tensor(0.5160, device='cuda:0')]
100, 7.2677, 0.6438, 8.4755e-05, 0:00:00.688082, 761955.70, [tensor(0.5109, device='cuda:0'), tensor(0.5228, device='cuda:0')]
101, 7.1902, 0.7162, 8.5594e-05, 0:00:00.682253, 768465.66, [tensor(0.5112, device='cuda:0'), tensor(0.5159, device='cuda:0')]
102, 7.1747, 0.8892, 8.6434e-05, 0:00:00.686327, 763904.09, [tensor(0.5108, device='cuda:0'), tensor(0.5208, device='cuda:0')]
103, 7.0664, 1.2636, 8.7273e-05, 0:00:00.678286, 772960.08, [tensor(0.5131, device='cuda:0'), tensor(0.5146, device='cuda:0')]
104, 7.1486, 0.9694, 8.8112e-05, 0:00:00.688276, 761740.93, [tensor(0.5118, device='cuda:0'), tensor(0.5231, device='cuda:0')]
105, 7.1602, 1.1274, 8.8951e-05, 0:00:00.681903, 768860.09, [tensor(0.5145, device='cuda:0'), tensor(0.5179, device='cuda:0')]
106, 7.1088, 0.7106, 8.9790e-05, 0:00:00.684621, 765807.65, [tensor(0.5112, device='cuda:0'), tensor(0.5190, device='cuda:0')]
107, 7.0499, 0.8431, 9.0629e-05, 0:00:00.681988, 768764.26, [tensor(0.5105, device='cuda:0'), tensor(0.5175, device='cuda:0')]
108, 7.1103, 1.1035, 9.1469e-05, 0:00:00.683210, 767389.24, [tensor(0.5121, device='cuda:0'), tensor(0.5183, device='cuda:0')]
109, 7.1336, 1.4851, 9.2308e-05, 0:00:00.684031, 766468.19, [tensor(0.5098, device='cuda:0'), tensor(0.5179, device='cuda:0')]
110, 7.0596, 0.7513, 9.3147e-05, 0:00:00.685977, 764293.85, [tensor(0.5145, device='cuda:0'), tensor(0.5204, device='cuda:0')]
111, 7.0372, 1.2821, 9.3986e-05, 0:00:00.682705, 767956.88, [tensor(0.5135, device='cuda:0'), tensor(0.5183, device='cuda:0')]
112, 7.0050, 0.7642, 9.4825e-05, 0:00:00.687068, 763080.22, [tensor(0.5093, device='cuda:0'), tensor(0.5200, device='cuda:0')]
113, 7.0693, 0.7647, 9.5664e-05, 0:00:00.688514, 761477.62, [tensor(0.5108, device='cuda:0'), tensor(0.5226, device='cuda:0')]
114, 7.0592, 0.8036, 9.6503e-05, 0:00:00.684513, 765928.48, [tensor(0.5147, device='cuda:0'), tensor(0.5212, device='cuda:0')]
115, 7.0286, 0.9656, 9.7343e-05, 0:00:00.682974, 767654.41, [tensor(0.5105, device='cuda:0'), tensor(0.5168, device='cuda:0')]
116, 6.9514, 1.2945, 9.8182e-05, 0:00:00.687082, 763064.67, [tensor(0.5129, device='cuda:0'), tensor(0.5217, device='cuda:0')]
117, 6.8676, 0.7899, 9.9021e-05, 0:00:00.680628, 770300.37, [tensor(0.5117, device='cuda:0'), tensor(0.5173, device='cuda:0')]
118, 6.8929, 0.8064, 9.9860e-05, 0:00:00.688442, 761557.26, [tensor(0.5106, device='cuda:0'), tensor(0.5256, device='cuda:0')]
119, 6.9397, 0.8320, 1.0070e-04, 0:00:00.689189, 760731.82, [tensor(0.5119, device='cuda:0'), tensor(0.5271, device='cuda:0')]
120, 6.8925, 0.6193, 1.0154e-04, 0:00:00.682298, 768414.97, [tensor(0.5122, device='cuda:0'), tensor(0.5218, device='cuda:0')]
121, 6.8821, 0.6615, 1.0238e-04, 0:00:00.688247, 761773.03, [tensor(0.5120, device='cuda:0'), tensor(0.5228, device='cuda:0')]
122, 6.8650, 0.6510, 1.0322e-04, 0:00:00.685147, 765219.73, [tensor(0.5119, device='cuda:0'), tensor(0.5199, device='cuda:0')]
123, 6.8556, 0.6445, 1.0406e-04, 0:00:00.682675, 767990.63, [tensor(0.5101, device='cuda:0'), tensor(0.5177, device='cuda:0')]
124, 6.8728, 0.8292, 1.0490e-04, 0:00:00.684432, 766019.12, [tensor(0.5110, device='cuda:0'), tensor(0.5201, device='cuda:0')]
125, 6.8593, 0.6565, 1.0573e-04, 0:00:00.682487, 768202.18, [tensor(0.5129, device='cuda:0'), tensor(0.5202, device='cuda:0')]
126, 6.8506, 0.8332, 1.0657e-04, 0:00:00.684098, 766393.12, [tensor(0.5122, device='cuda:0'), tensor(0.5197, device='cuda:0')]
127, 6.8025, 0.8354, 1.0741e-04, 0:00:00.687785, 762284.73, [tensor(0.5143, device='cuda:0'), tensor(0.5219, device='cuda:0')]
128, 6.7718, 0.9367, 1.0825e-04, 0:00:00.682628, 768043.50, [tensor(0.5121, device='cuda:0'), tensor(0.5232, device='cuda:0')]
129, 6.7554, 1.9242, 1.0909e-04, 0:00:00.687033, 763119.09, [tensor(0.5148, device='cuda:0'), tensor(0.5197, device='cuda:0')]
130, 6.8151, 0.7716, 1.0993e-04, 0:00:00.683613, 766936.85, [tensor(0.5132, device='cuda:0'), tensor(0.5254, device='cuda:0')]
131, 6.7727, 1.7410, 1.1077e-04, 0:00:00.687830, 762234.85, [tensor(0.5103, device='cuda:0'), tensor(0.5204, device='cuda:0')]
132, 6.7755, 1.2302, 1.1161e-04, 0:00:00.689601, 760277.32, [tensor(0.5170, device='cuda:0'), tensor(0.5232, device='cuda:0')]
133, 6.6812, 1.2238, 1.1245e-04, 0:00:00.685756, 764540.16, [tensor(0.5115, device='cuda:0'), tensor(0.5223, device='cuda:0')]
134, 6.6761, 1.0137, 1.1329e-04, 0:00:00.688212, 761811.77, [tensor(0.5112, device='cuda:0'), tensor(0.5236, device='cuda:0')]
135, 6.7560, 1.2461, 1.1413e-04, 0:00:00.686843, 763330.19, [tensor(0.5144, device='cuda:0'), tensor(0.5181, device='cuda:0')]
136, 6.7189, 0.8671, 1.1497e-04, 0:00:00.686145, 764106.71, [tensor(0.5128, device='cuda:0'), tensor(0.5202, device='cuda:0')]
137, 6.7464, 1.2206, 1.1580e-04, 0:00:00.681562, 769244.76, [tensor(0.5121, device='cuda:0'), tensor(0.5171, device='cuda:0')]
138, 6.6716, 0.9771, 1.1664e-04, 0:00:00.688649, 761328.34, [tensor(0.5115, device='cuda:0'), tensor(0.5217, device='cuda:0')]
139, 6.7620, 0.8990, 1.1748e-04, 0:00:00.686197, 764048.81, [tensor(0.5145, device='cuda:0'), tensor(0.5205, device='cuda:0')]
140, 6.8725, 1.0130, 1.1832e-04, 0:00:00.684932, 765459.93, [tensor(0.5110, device='cuda:0'), tensor(0.5192, device='cuda:0')]
141, 6.7562, 1.0725, 1.1916e-04, 0:00:00.684391, 766065.01, [tensor(0.5119, device='cuda:0'), tensor(0.5181, device='cuda:0')]
142, 6.8176, 0.9721, 1.2000e-04, 0:00:00.685357, 764985.26, [tensor(0.5114, device='cuda:0'), tensor(0.5201, device='cuda:0')]
143, 6.7548, 1.2164, 1.2084e-04, 0:00:00.685564, 764754.28, [tensor(0.5100, device='cuda:0'), tensor(0.5193, device='cuda:0')]
144, 6.7574, 0.5861, 1.2168e-04, 0:00:00.684822, 765582.88, [tensor(0.5129, device='cuda:0'), tensor(0.5217, device='cuda:0')]
145, 6.7514, 1.2512, 1.2252e-04, 0:00:00.686951, 763210.19, [tensor(0.5164, device='cuda:0'), tensor(0.5203, device='cuda:0')]
146, 6.7604, 0.7216, 1.2336e-04, 0:00:00.684125, 766362.87, [tensor(0.5122, device='cuda:0'), tensor(0.5206, device='cuda:0')]
147, 6.7498, 0.8607, 1.2420e-04, 0:00:00.683810, 766715.90, [tensor(0.5116, device='cuda:0'), tensor(0.5166, device='cuda:0')]
148, 6.7520, 1.1643, 1.2503e-04, 0:00:00.683825, 766699.08, [tensor(0.5099, device='cuda:0'), tensor(0.5186, device='cuda:0')]
149, 6.7387, 1.1792, 1.2587e-04, 0:00:00.686742, 763442.46, [tensor(0.5112, device='cuda:0'), tensor(0.5222, device='cuda:0')]
150, 6.7236, 0.9812, 1.2671e-04, 0:00:00.680856, 770042.42, [tensor(0.5121, device='cuda:0'), tensor(0.5162, device='cuda:0')]
151, 6.6382, 0.9086, 1.2755e-04, 0:00:00.685083, 765291.21, [tensor(0.5127, device='cuda:0'), tensor(0.5180, device='cuda:0')]
152, 6.6640, 0.7085, 1.2839e-04, 0:00:00.682975, 767653.28, [tensor(0.5116, device='cuda:0'), tensor(0.5185, device='cuda:0')]
153, 6.7250, 0.8142, 1.2923e-04, 0:00:00.683348, 767234.26, [tensor(0.5111, device='cuda:0'), tensor(0.5188, device='cuda:0')]
154, 6.6316, 0.7894, 1.3007e-04, 0:00:00.682269, 768447.64, [tensor(0.5118, device='cuda:0'), tensor(0.5174, device='cuda:0')]
155, 6.5983, 0.9610, 1.3091e-04, 0:00:00.686063, 764198.04, [tensor(0.5144, device='cuda:0'), tensor(0.5195, device='cuda:0')]
156, 6.6698, 0.9401, 1.3175e-04, 0:00:00.680877, 770018.67, [tensor(0.5126, device='cuda:0'), tensor(0.5179, device='cuda:0')]
157, 6.7144, 0.9341, 1.3259e-04, 0:00:00.685047, 765331.43, [tensor(0.5128, device='cuda:0'), tensor(0.5182, device='cuda:0')]
158, 6.7010, 1.5508, 1.3343e-04, 0:00:00.685092, 765281.16, [tensor(0.5108, device='cuda:0'), tensor(0.5200, device='cuda:0')]
159, 6.6173, 0.9329, 1.3427e-04, 0:00:00.682858, 767784.81, [tensor(0.5108, device='cuda:0'), tensor(0.5183, device='cuda:0')]
160, 6.5618, 1.1707, 1.3510e-04, 0:00:00.681934, 768825.14, [tensor(0.5120, device='cuda:0'), tensor(0.5181, device='cuda:0')]
